code,name,display
138A.T,光フードサービス,光フードサービス (138A.T)
1397.T,ＳＭＤＡＭ　日経２２５上場投信,ＳＭＤＡＭ　日経２２５上場投信 (1397.T)
1398.T,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信 (1398.T)
1399.T,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ (1399.T)
139A.T,東日本地所,東日本地所 (139A.T)
1401.T,エムビーエス,エムビーエス (1401.T)
1407.T,ウエストホールディングス,ウエストホールディングス (1407.T)
140A.T,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース (140A.T)
1414.T,ショーボンドホールディングス,ショーボンドホールディングス (1414.T)
1417.T,ミライト・ワン,ミライト・ワン (1417.T)
1418.T,インターライフホールディングス,インターライフホールディングス (1418.T)
1419.T,タマホーム,タマホーム (1419.T)
141A.T,トライアルホールディングス,トライアルホールディングス (141A.T)
1420.T,サンヨーホームズ,サンヨーホームズ (1420.T)
1429.T,日本アクア,日本アクア (1429.T)
142A.T,ジンジブ,ジンジブ (142A.T)
1430.T,ファーストコーポレーション,ファーストコーポレーション (1430.T)
1431.T,Ｌｉｂ　Ｗｏｒｋ,Ｌｉｂ　Ｗｏｒｋ (1431.T)
1432.T,動力,動力 (1432.T)
1433.T,ベステラ,ベステラ (1433.T)
1434.T,ＪＥＳＣＯホールディングス,ＪＥＳＣＯホールディングス (1434.T)
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,ｒｏｂｏｔ　ｈｏｍｅ (1435.T)
1436.T,グリーンエナジー＆カンパニー,グリーンエナジー＆カンパニー (1436.T)
1438.T,岐阜造園,岐阜造園 (1438.T)
143A.T,イシン,イシン (143A.T)
1443.T,技研ホールディングス,技研ホールディングス (1443.T)
1444.T,ニッソウ,ニッソウ (1444.T)
1445.T,ひかりホールディングス,ひかりホールディングス (1445.T)
1446.T,キャンディル,キャンディル (1446.T)
1447.T,ＳＡＡＦホールディングス,ＳＡＡＦホールディングス (1447.T)
144A.T,エネルギーパワー,エネルギーパワー (144A.T)
1450.T,ＴＡＮＡＫＥＮ,ＴＡＮＡＫＥＮ (1450.T)
1452.T,横浜ライト工業,横浜ライト工業 (1452.T)
1456.T,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス (1456.T)
1457.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数 (1457.T)
1458.T,楽天ＥＴＦ‐日経レバレッジ指数連動型,楽天ＥＴＦ‐日経レバレッジ指数連動型 (1458.T)
1459.T,楽天ＥＴＦ‐日経ダブルインバース指数連動型,楽天ＥＴＦ‐日経ダブルインバース指数連動型 (1459.T)
145A.T,Ｌ　ｉｓ　Ｂ,Ｌ　ｉｓ　Ｂ (145A.T)
1466.T,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス (1466.T)
1469.T,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース） (1469.T)
146A.T,コロンビア・ワークス,コロンビア・ワークス (146A.T)
1472.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信 (1472.T)
1473.T,Ｏｎｅ　ＥＴＦ　トピックス,Ｏｎｅ　ＥＴＦ　トピックス (1473.T)
1474.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００ (1474.T)
1475.T,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ (1475.T)
1476.T,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ｉシェアーズ・コア　Ｊリート　ＥＴＦ (1476.T)
1477.T,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ (1477.T)
1478.T,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ (1478.T)
1479.T,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数 (1479.T)
147A.T,ソラコム,ソラコム (147A.T)
1480.T,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信 (1480.T)
1481.T,上場インデックスファンド日本経済貢献株,上場インデックスファンド日本経済貢献株 (1481.T)
1482.T,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり） (1482.T)
1483.T,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ (1483.T)
1484.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数 (1484.T)
1485.T,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信 (1485.T)
1486.T,上場インデックスファンド米国債券（為替ヘッジなし）,上場インデックスファンド米国債券（為替ヘッジなし） (1486.T)
1487.T,上場インデックスファンド米国債券（為替ヘッジあり）,上場インデックスファンド米国債券（為替ヘッジあり） (1487.T)
1488.T,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数 (1488.T)
1489.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信 (1489.T)
148A.T,ハッチ・ワーク,ハッチ・ワーク (148A.T)
1490.T,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ） (1490.T)
1491.T,中外鉱業,中外鉱業 (1491.T)
1493.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型 (1493.T)
1494.T,Ｏｎｅ　ＥＴＦ　高配当日本株,Ｏｎｅ　ＥＴＦ　高配当日本株 (1494.T)
1495.T,上場インデックスファンドアジアリート,上場インデックスファンドアジアリート (1495.T)
1496.T,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり） (1496.T)
1497.T,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり） (1497.T)
1498.T,Ｏｎｅ　ＥＴＦ　ＥＳＧ,Ｏｎｅ　ＥＴＦ　ＥＳＧ (1498.T)
1499.T,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信 (1499.T)
149A.T,シンカ,シンカ (149A.T)
150A.T,ＪＳＨ,ＪＳＨ (150A.T)
1514.T,住石ホールディングス,住石ホールディングス (1514.T)
1515.T,日鉄鉱業,日鉄鉱業 (1515.T)
1518.T,三井松島ホールディングス,三井松島ホールディングス (1518.T)
151A.T,ダイブ,ダイブ (151A.T)
152A.T,オプティ,オプティ (152A.T)
153A.T,カウリス,カウリス (153A.T)
1540.T,純金上場信託（現物国内保管型）,純金上場信託（現物国内保管型） (1540.T)
1541.T,純プラチナ上場信託（現物国内保管型）,純プラチナ上場信託（現物国内保管型） (1541.T)
1542.T,純銀上場信託（現物国内保管型）,純銀上場信託（現物国内保管型） (1542.T)
1543.T,純パラジウム上場信託（現物国内保管型）,純パラジウム上場信託（現物国内保管型） (1543.T)
1545.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信 (1545.T)
1546.T,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信 (1546.T)
1547.T,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,上場インデックスファンド米国株式（Ｓ＆Ｐ５００） (1547.T)
154A.T,ＧＡＩＡ,ＧＡＩＡ (154A.T)
1550.T,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信 (1550.T)
1551.T,東証スタンダードＴＯＰ２０ＥＴＦ,東証スタンダードＴＯＰ２０ＥＴＦ (1551.T)
1554.T,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本 (1554.T)
1555.T,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ） (1555.T)
1557.T,Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ (1557.T)
1559.T,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信 (1559.T)
155A.T,情報戦略テクノロジー,情報戦略テクノロジー (155A.T)
1560.T,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信 (1560.T)
1563.T,東証グロース・コアＥＴＦ,東証グロース・コアＥＴＦ (1563.T)
1566.T,上場インデックスファンド新興国債券,上場インデックスファンド新興国債券 (1566.T)
1568.T,ＴＯＰＩＸブル２倍上場投信,ＴＯＰＩＸブル２倍上場投信 (1568.T)
1569.T,ＴＯＰＩＸベア上場投信,ＴＯＰＩＸベア上場投信 (1569.T)
156A.T,マテリアルグループ,マテリアルグループ (156A.T)
1570.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信 (1570.T)
1571.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信 (1571.T)
1572.T,中国Ｈ株ブル２倍上場投信,中国Ｈ株ブル２倍上場投信 (1572.T)
1573.T,中国Ｈ株ベア上場投信,中国Ｈ株ベア上場投信 (1573.T)
1577.T,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信 (1577.T)
1578.T,上場インデックスファンド日経２２５（ミニ）,上場インデックスファンド日経２２５（ミニ） (1578.T)
1579.T,日経平均ブル２倍上場投信,日経平均ブル２倍上場投信 (1579.T)
157A.T,グリーンモンスター,グリーンモンスター (157A.T)
1580.T,日経平均ベア上場投信,日経平均ベア上場投信 (1580.T)
1585.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ (1585.T)
1586.T,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ (1586.T)
158A.T,エクセリ,エクセリ (158A.T)
1591.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信 (1591.T)
1592.T,上場インデックスファンドＪＰＸ日経インデックス４００,上場インデックスファンドＪＰＸ日経インデックス４００ (1592.T)
1593.T,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信 (1593.T)
1595.T,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数 (1595.T)
1596.T,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ (1596.T)
1597.T,ＭＡＸＩＳ　Ｊリート上場投信,ＭＡＸＩＳ　Ｊリート上場投信 (1597.T)
1599.T,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ (1599.T)
159A.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信 (159A.T)
1605.T,ＩＮＰＥＸ,ＩＮＰＥＸ (1605.T)
160A.T,アズパートナーズ,アズパートナーズ (160A.T)
1615.T,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信 (1615.T)
1617.T,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信 (1617.T)
1618.T,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信 (1618.T)
